case,category,detail
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":117,""oneYearRank"":123,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":7,""losses"":11,""prizeMoney"":9000,""rankingPoints"":9000,""titles"":0,""proWins"":7,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""At Risk"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 26 matches, 22 wins, 28 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":226,""qTourRank"":198,""qSchoolRank"":18,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":9,""losses"":4,""prizeMoney"":0,""rankingPoints"":76,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 30 matches, 41 wins, 30 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-season-match-count,"Elliot Vance: {""season"":""2029/30"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":2,""qTourRank"":147,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":19,""losses"":2,""prizeMoney"":0,""rankingPoints"":3190,""titles"":2,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Q Tour / Global Amateur Pathway""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 41 matches, 54 wins, 41 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-season-match-count,"Elliot Vance: {""season"":""2030/31"",""worldRank"":118,""oneYearRank"":102,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":13,""losses"":11,""prizeMoney"":24200,""rankingPoints"":24200,""titles"":0,""proWins"":13,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 52 matches, 68 wins, 50 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":72,""oneYearRank"":55,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":14,""losses"":9,""prizeMoney"":64600,""rankingPoints"":60600,""titles"":1,""proWins"":14,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""At Risk"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 56 matches, 79 wins, 54 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":117,""qTourRank"":159,""qSchoolRank"":10,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":11,""losses"":4,""prizeMoney"":0,""rankingPoints"":1787,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 60 matches, 98 wins, 57 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":1,""qTourRank"":116,""qSchoolRank"":153,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":19,""losses"":3,""prizeMoney"":0,""rankingPoints"":4225,""titles"":2,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 71 matches, 109 wins, 69 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":110,""oneYearRank"":98,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":11,""losses"":12,""prizeMoney"":26350,""rankingPoints"":26350,""titles"":0,""proWins"":11,""proLosses"":12,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 82 matches, 118 wins, 78 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":93,""oneYearRank"":89,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":9,""losses"":9,""prizeMoney"":26650,""rankingPoints"":26400,""titles"":0,""proWins"":9,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""At Risk"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 86 matches, 136 wins, 81 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":22,""qTourRank"":164,""qSchoolRank"":155,""seniorRank"":55,""youthRank"":null,""matches"":4,""wins"":18,""losses"":3,""prizeMoney"":0,""rankingPoints"":2527,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 90 matches, 149 wins, 85 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":21,""qTourRank"":152,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":13,""losses"":4,""prizeMoney"":0,""rankingPoints"":1787,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 94 matches, 155 wins, 90 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":203,""qTourRank"":155,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":6,""losses"":5,""prizeMoney"":0,""rankingPoints"":2411,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 98 matches, 166 wins, 94 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":238,""qTourRank"":173,""qSchoolRank"":35,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":11,""losses"":4,""prizeMoney"":0,""rankingPoints"":1207,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 106 matches, 174 wins, 103 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":140,""oneYearRank"":139,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":42,""youthRank"":null,""matches"":8,""wins"":8,""losses"":9,""prizeMoney"":2000,""rankingPoints"":46,""titles"":0,""proWins"":0,""proLosses"":3,""mainTourEvents"":2,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-career-match-count,"Elliot Vance: 115 matches, 176 wins, 112 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-season-match-count,"Elliot Vance: {""season"":""2041/42"",""worldRank"":132,""oneYearRank"":131,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":9,""wins"":2,""losses"":9,""prizeMoney"":7250,""rankingPoints"":7001,""titles"":0,""proWins"":2,""proLosses"":8,""mainTourEvents"":8,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""At Risk"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-career-match-count,"Elliot Vance: 119 matches, 181 wins, 117 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-season-match-count,"Elliot Vance: {""season"":""2042/43"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":129,""qTourRank"":188,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":5,""losses"":5,""prizeMoney"":0,""rankingPoints"":839,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-career-match-count,"Elliot Vance: 123 matches, 184 wins, 122 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-season-match-count,"Elliot Vance: {""season"":""2043/44"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":199,""qTourRank"":181,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":836,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-career-match-count,"Elliot Vance: 127 matches, 185 wins, 127 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-season-match-count,"Elliot Vance: {""season"":""2044/45"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":196,""qTourRank"":427,""qSchoolRank"":null,""seniorRank"":72,""youthRank"":null,""matches"":4,""wins"":1,""losses"":5,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-career-match-count,"Elliot Vance: 133 matches, 186 wins, 134 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-season-match-count,"Elliot Vance: {""season"":""2045/46"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":108,""qTourRank"":437,""qSchoolRank"":223,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":7,""prizeMoney"":0,""rankingPoints"":17,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
